aabq	傲岸不羣
fczh	飛蒼走黃
fivj	覆車之鑑\t覆車之戒
fizl	逢場作樂
fivm	非常之謀
fcvm	分寸之末
fizq	逢場作趣
fivu	非常重視
fivw	非池中物
fizx	逢場作戲
fczx	父慈子孝
fivx	覆巢之下\t飛芻轉餉
fivy	非常重要
fdbj	放蕩不羈\t放達不羈\t放誕不羈\t放誕不拘
fdbl	放刁把濫
fdiw	扶顛持危
fdix	釜底抽薪
fddt	福地洞天
fddx	復旦大學
fdfd	輔導輔導
fdfl	放誕風流
fdft	覆地翻天
fdge	負德辜恩
fdgg	飛得更高
fdgj	發達國家\t封刀掛劍
fdhi	鳧短鶴長
fdkr	焚典坑儒
fdli	蜚短流長\t飛短流長
fdls	飛遁離俗
fdly	富得流油
fdmb	奮鬥目標
fdmd	福大命大
fdmg	飛遁鳴高\t肥遁鳴高\t肥遯鳴高
fdmj	防毒面具
fdpp	風度翩翩\t丰度翩翩
fdqv	復蹈前轍
fdrj	婦道人家
fdsg	諷德誦功
fduj	風刀霜劍
fdun	肥冬瘦年
fdsp	放刁撒潑
fdur	伏地聖人
fdsy	法度森嚴
fdxi	髮短心長
fdxh	放蕩形骸
fdyb	分道揚鑣
fdyd	風大雨大
fdyg	方底圓蓋
fdys	煩得要死
fdyu	鋒鏑餘生
fdyv	粉雕玉琢
fdyy	釜底游魚
fdzx	伏低做小\t服低做小
febj	犯而不校
febn	肥而不膩
fedf	逢惡導非
fedy	附耳低言
fefh	飛蛾赴火
fefy	飛蛾赴焰
fefv	飛蛾赴燭
fegl	附耳過來
feml	福爾馬林\t負恩昧良
fems	福爾摩斯
feph	飛蛾撲火
feut	伏而咶天
feth	飛蛾投火
fevv	分而治之
fewx	犯而勿校
ffbb	縫縫補補
ffbp	憤憤不平
ffby	紛紛不一
ffil	反腐倡廉
ffdc	豐富多彩\t豐富多采
ffdd	瘋瘋癲癲
ffdl	奮發蹈厲
ffet	泛泛而談
ffff	反反覆覆\t販夫販婦
fffy	芬芳馥郁
fffz	紛繁複雜
ffgg	風風光光
ffhh	風風火火
ffhl	傅粉何郎
ffhq	夫復何求
ffjg	非富即貴
ffjj	紛紛籍籍
ffjk	分房減口
ffli	放飯流歠
fflm	附膚落毛
ffls	發發牢騷
fflt	沸反連天
ffmh	反風滅火
ffpl	分風劈流
ffpx	焚符破璽
ffql	發凡起例
ffqv	吠非其主
ffrr	紛紛擾擾\t紛紛攘攘
ffry	凡夫肉眼
ffsd	非法所得
ffuu	沸沸湯湯
ffsz	凡夫俗子\t販夫俗子
ffuv	伏法受誅\t傅粉施朱
fftq	奮發圖強\t發憤圖強\t發奮圖強\t反覆推敲
fftt	服服帖帖
ffvb	泛泛之輩
ffvc	非分之財\t葑菲之采
ffvv	方方正正
ffvx	非分之想
ffvy	肺腑之言
ffwi	反覆無常\t翻覆無常\t反覆無常
ffwu	發憤忘食
ffxb	腹誹心謗
ffxu	奮發向上
ffyj	蜂附雲集
ffyl	鋒發韻流
ffyt	沸反盈天
ffyw	奮發有爲
ffyx	蜂房蟻穴
ffyy	風風雨雨\t匪匪翼翼\t沸沸揚揚\t紛紛揚揚\t紛紛洋洋\t紛紛擁擁\t風風韻韻
ffvj	泛泛之交
ffzl	販夫皁隸\t販夫皁隸
ffvn	非分之念
ffvr	泛泛之人
ffvt	泛泛之談
ffzz	販夫走卒\t販夫騶卒
fgak	富貴安康
fgam	富國安民
fgbi	簠簋不飭
fgbe	奉公不阿
fgbr	富貴逼人
fgbx	烽鼓不息\t婦姑勃谿
fgil	浮瓜沉李
fgiu	飛鴿傳書
fgds	反攻倒算
fgdz	風光大葬
fgfi	復工復產
fgfh	風高放火
fgfl	發光發亮
fgfr	發光發熱
fgfy	富貴浮雲
fggk	分甘共苦
fghk	富貴花開
fghl	豐功厚利
fghn	妨功害能
fghz	分工合作
fgjg	焚膏繼晷
fgjn	伐功矜能
fgjq	粉骨捐軀
fgjr	富貴驕人
fgju	分甘絕少
fgld	飛閣流丹
fgly	浮光掠影
fglz	鳳骨龍姿
fgmd	豐功茂德
fgmq	粉骨糜軀
fgmu	粉骨糜身
fgnc	發國難財
fgnu	返觀內視
fgnv	返觀內照
fgqb	富國強兵
fgqj	風骨峭峻
fgqn	肥甘輕暖
fgrh	富貴榮華
fgrj	富貴人家
fgud	豐功碩德
fguf	奉公守法
fgul	豐功盛烈
fgsu	粉骨碎身
fgtk	分甘同苦
fgvj	附骨之疽\t奉公正己
fgvq	附骨之蛆
fgwj	豐功偉績
fgwt	法國梧桐
fgwx	風光無限
fgxj	飛觥獻斝
fgxp	鳳冠霞帔
fgxx	反戈相向
fgxy	封官許願\t桴鼓相應\t封官許原
fgyd	豐功懿德
fgyh	焚骨揚灰
fgyj	反戈一擊\t販官鬻爵\t風光月霽
fgyn	風光旖旎
fgzj	放歌縱酒\t飛觥走斝
fgzu	福過災生
fgzt	富貴在天
fgzw	反躬自問\t撫躬自問
fgzx	反躬自省
fgzz	反躬自責
fhbi	分毫不差
fhbq	分毫不取
fhbu	分毫不爽
fhbv	分毫不值
fhdj	風回電激\t馮驩彈鋏
fhdz	翻黃倒皁\t翻黃倒皁
fhem	封胡遏末
fhfl	分花拂柳
fhgu	放虎歸山
fhhl	紛紅駭綠
fhjd	風華絕代
fhjm	封胡羯末
fhjq	風禾盡起
fhln	烽火連年
fhlp	廢話連篇
fhlr	浮花浪蕊
fhlt	烽火連天
fhly	鳳凰來儀
fhlv	峯迴路轉
fhmc	泛浩摩蒼
fhrl	風和日麗
fhrm	風和日美
fhrn	風和日暖
fhrx	風和日暄
fhsj	繁花似錦
fhul	發號施令
fhsq	烽火四起
fhuu	放火燒山
fhut	蜂合豕突
fhux	福慧雙修
fhsv	繁華損枝
fhtd	飛黃騰達
fhtt	飛黃騰踏
fhtx	飛鴻踏雪
fhwb	法海無邊\t風鬟霧鬢
fhwj	分化瓦解
fhwm	防患未萌
fhwr	防患未然
fhwu	分毫無爽
fhxl	分毫析釐\t伏虎降龍\t烽火相連
fhxy	風花雪月\t風花雪夜
fhxv	飛鴻雪爪
fhyb	風鬟雨鬢
fhyd	豐亨豫大
fhyf	鳳凰于飛
fhyh	放虎遺患
fhyj	蜂合蟻聚
fhyl	風虎雲龍\t分花約柳
fhyu	覆海移山
fhyx	飛鴻印雪
fhvm	風華正茂
fhzn	鳳凰在笯
fhzw	放虎自衛
fjbh	分久必合
fjbl	分斤掰兩\t分斤撥兩\t分金掰兩
fjbu	法家拂士\t風景不殊
fjcy	風捲殘雲
fjdi	非機動車\t逢吉丁辰
fjdf	風激電飛
fjdh	翻江倒海\t風激電駭
fjdl	封疆大吏\t豐筋多力
fjdp	飛機大炮
fjfv	浮家泛宅
fjgh	逢機遘會
fjgy	封金掛印
fjhd	反經合道
fjhj	分進合擊
fjhx	鳧脛鶴膝
fjhy	反經合義
fjjd	非奸即盜
fjjh	翻江攪海
fjku	費盡口舌
fjld	逢機立斷
fjlg	風急浪高
fjlx	費盡了心
fjmg	販賤賣貴
fjmm	販交買名
fjmv	附驥名彰
fjny	弗吉尼亞
fjph	附驥攀鴻
fjpm	反驕破滿
fjqz	負荊請罪
fjri	復舊如初
fjrg	豐肌弱骨
fjrh	風景如畫
fjuc	封己守殘
fjuh	封建社會
fjuj	飛將數奇
fjsl	費盡思量
fjuq	撫景傷情
fjsx	撫今思昔
fjuv	法灸神針
fjtf	發奸擿伏
fjtx	富甲天下
fjvf	發家致富
fjvj	范進中舉\t反間之計
fjvl	縛雞之力
fjvv	費盡周折
fjvx	撫今追昔
fjxi	分家析產
fjxg	豐肌秀骨
fjxj	費盡心機
fjxq	反經行權
fjxs	費盡心思
fjyc	分居異爨
fjyf	富甲一方\t風舉雲飛
fjyg	風譎雲詭
fjyy	風舉雲搖
fjve	逢君之惡
fkiq	翻空出奇
fkdg	富可敵國
fkdh	發科打諢
fkdj	番窠倒臼
fkdl	蜂狂蝶亂
fkfk	反饋反饋
fkjn	飯坑酒囊
fkjv	佛靠金裝
fklj	風口浪尖
fkud	焚枯食淡
fkux	佛口蛇心
fkwv	反客爲主
fkyx	蜂窠蟻穴
flbj	放浪不羈\t放浪不拘
flij	奉令承教
fliy	飛龍乘雲
fliv	法輪常轉
fliz	氾濫成災
flcz	風流才子
fldi	飛流短長
fldd	風流跌宕
fldv	峯巒疊嶂
flel	焚林而獵
fleu	焚林而狩
flet	焚林而田\t焚林而畋
flfi	伏龍鳳雛
flfg	法律法規\t分勞赴功
flfl	瘋了瘋了
flfm	非驢非馬
flfq	翻來覆去\t番來覆去\t返來複去
flgp	放了個屁
flgt	返老歸童
flgw	法律顧問
flhh	飛來橫禍
flhp	風雷火炮
flhu	風林火山
flhs	分釐毫絲
flht	返老還童\t反老還童
fljb	方領矩步
fljt	芳蘭竟體
fljz	焚林竭澤
flkf	法蘭克福
flkh	風流快活
flkk	飯來開口
flld	佛羅里達
flls	佛羅倫薩
fllx	費力勞心
flmq	法律面前
flnl	服了你了
flrh	放龍入海
flrm	紛亂如麻
flru	飯糲茹蔬
flrw	風流人物
flry	風流儒雅
fluq	福祿雙全
flux	福祿壽喜
fltb	富埒陶白
flth	富麗堂皇
fltt	風流倜儻
fltw	法律條文
fltx	法律體系
flvd	法律制度
flvk	飯來張口\t發聾振聵
flvx	飛流直下
flwa	方來未艾
flwb	法力無邊
flwd	非禮勿動
flwj	放浪無羈\t放浪無拘
flwm	飛糧輓秣
flwq	翻臉無情\t反臉無情
flwu	非禮勿視
flwt	非禮勿聽
flwy	非禮勿言\t反勞爲逸
flxd	父老兄弟
flxf	飛鸞翔鳳
flxh	放浪形骸
flxq	父老鄉親
flxs	風流瀟灑
flxy	扶老攜幼\t負老攜幼
flyb	分路揚鑣
flyd	弗洛伊德
flyf	翻了一番
flyg	方領圓冠
flys	風流雲散
flyu	風流韻事
flvb	風雷之變
flzg	風流罪過
flzt	飛龍在天
fmbi	富面百城
fmbh	分門別戶
fmbl	鋒芒畢露\t分門別類\t鋒芒不露\t浮名薄利\t鋒鋩畢露
fmbr	鋒芒逼人
fmbv	分秒必爭
fmii	反目成仇
fmiu	蜂目豺聲
fmct	分茅賜土
fmdb	飛謀釣謗
fmdi	粉墨登場
fmdd	房謀杜斷
fmde	方面大耳
fmdj	防萌杜漸
fmdu	蜂媒蝶使
fmeq	奮袂而起\t父母恩勤
fmgl	放馬過來
fmhb	風木含悲
fmhp	放馬後炮
fmhs	伐毛換髓
fmhy	放馬華陽
fmjb	飛謀薦謗
fmjc	反面教材
fmjf	發矇解縛
fmjh	發矇解惑
fmjm	鳳毛濟美
fmjy	反面教員
fmle	鳳靡鸞吪
fmlj	鳳毛麟角
fmlt	分茅裂土\t分茅列土
fmqq	風靡全球\t肥馬輕裘
fmqx	負面情緒
fmrw	反面人物
fmsx	鋒芒所向
fmvk	防民之口\t發矇振聵
fmvl	發明專利\t發蒙振落
fmwj	奉命唯謹
fmwq	反面無情
fmwv	反面文章
fmxs	伐毛洗髓
fmxt	分茅錫土
fmxy	浮名虛譽
fmyu	風靡一時
fmys	負面因素
fmyt	粉面油頭
fmyx	負面影響
fmvb	父母之邦
fmvi	飛米轉芻\t粉面朱脣
fmvu	法脈準繩
fmzt	分茅胙土
fmzy	負面作用
fmvy	鳳鳴朝陽
fnig	發怒穿冠\t發怒衝冠
fngj	逢年過節
fngm	放牛歸馬
fnhy	芳年華月
fnju	飛鳥驚蛇
fnjw	飯囊酒甕\t飯囊酒甕
fnks	菲尼克斯
fnmu	非你莫屬
fnqq	負駑前驅
fnrs	豐年稔歲
fntg	飯牛屠狗
fnvu	分內之事
fnyj	飯囊衣架
fnym	放你一馬
fnyr	飛鳥依人
fojq	凡偶近器
fpbx	風平波息
fpif	飛蓬乘風
fpdd	奉陪到底
fpfg	泛萍浮梗
fpgv	返璞歸真\t反璞歸真\t反樸歸真\t返樸歸真
fphi	返樸還淳\t反樸還淳
fphv	返樸還真
fplc	膚皮潦草\t浮皮潦草
fplj	風平浪靜
fpsf	飛蓬隨風
fpuf	返轡收帆
fpsh	放潑撒豪
fptf	放屁添風
fpwk	訪貧問苦
fpxi	放辟邪侈\t放僻邪侈
fpyi	放辟淫侈
fpyl	分朋引類
fpyy	放僻淫佚
fpvq	分貧振窮
fpvy	覆盆之冤
fqbj	風清弊絕
fqbk	非去不可
fqcv	風前殘燭
fqdh	負氣鬥狠
fqdj	風驅電擊
fqds	風驅電掃
fqfi	反裘負芻
fqfd	富強發達
fqfg	非親非故
fqfh	飯前飯後
fqfk	分期付款
fqfm	反清復明\t夫妻反目
fqfp	夫妻肺片
fqfx	反裘負薪
fqhu	風趣橫生
fqhy	負屈含冤
fqjr	扶傾濟弱
fqky	豐取刻與
fqll	飛起來了
fqmb	扶牆摸壁
fqpa	分情破愛
fqqh	放情丘壑
fqqx	豐牆磽下
fqqy	鳧趨雀躍
fqqv	豐牆峭阯\t豐牆峭址
fqrc	飯糗茹草
fqup	反裘傷皮
fquu	夫妻雙雙
fquy	風起水湧
fqvh	焚琴煮鶴
fqvv	奮起直追
fqvx	風氣之先
fqwc	廢寢忘餐
fqwh	房前屋後
fqwj	非請勿進
fqwr	非請勿入
fqwu	廢寢忘食
fqwv	風情萬種
fqwy	訪親問友
fqxy	負屈銜冤
fqyb	風清月白
fqyi	夫妻一場
fqyd	風輕雲淡
fqyh	焚琴鬻鶴
fqyj	飛起一腳\t風清月皎\t風輕雲淨
fqyl	風清月朗
fqym	風清月明
fqys	風情月思
fqyx	風前月下
fqyy	風起雲湧\t風情月意
fqyz	封妻廕子
fqyv	風起雲蒸\t風情月債
fqvj	反求諸己
fqvm	風檣陣馬
fqzu	飛禽走獸
fqvy	負氣仗義
frbd	芙蓉並蒂
frby	怫然不悅
friu	繁榮昌盛\t芙蓉出水
friv	斐然成章
frdh	福如東海
frdx	輔仁大學
fref	廢然而返\t廢然而反
frfq	繁榮富強
frgj	翻然改進
frgt	幡然改途\t翻然改圖
frhw	幡然悔悟\t翻然悔悟
frhz	方枘圜鑿
frjv	婦孺皆知
frnv	膚如凝脂
frqd	夫人裙帶
frqg	夫榮妻貴
frum	奉若神明
frus	發人深思
frux	發人深省\t逢人說項
frvr	婦人之仁
frxf	斐然鄉風\t斐然向風
frxw	幡然醒悟\t繁榮興旺
fryq	扶弱抑強
fryz	方枘圓鑿
frzl	放任自流
frzs	怫然作色\t忿然作色
fsbk	非死不可
fsbl	分三別兩
fubu	反水不收
fuby	菲食薄衣
fuig	髮上衝冠
fuiu	封豕長蛇
fuiy	丰神綽約
fudh	翻山倒海
fudj	俯拾地芥\t馮生彈鋏
fuet	廢書而嘆
fset	焚藪而田
fufj	縛手縛腳
fufl	費時費力
fufq	肺石風清
fsfs	放鬆放鬆
fufx	匪石匪席
fugi	放聲歌唱
fugx	發生關係
fuhg	粉身灰骨
fuhl	風聲鶴唳
fuhy	福善禍淫
fujf	俯首就縛
fujk	分身減口
fujl	丰神俊朗
fsju	非死即傷
fujs	憤世嫉俗
fuju	俯拾皆是\t俯拾即是
fujw	防暑降溫
fujv	佛是金妝
fuki	乏善可陳
fukd	反手可得\t逢山開道
fukl	逢山開路
fukr	焚書坑儒\t燔書阬儒\t燔書坑儒
fslg	廢私立公\t鳳髓龍肝
fuly	飛霜六月
fumm	福壽綿綿
fumu	範水模山
funu	覆水難收
funv	返視內照
fuqt	福壽齊天
fuqx	浮聲切響
furm	浮生若夢
fsrq	風俗人情
fury	丰神如玉
fusg	粉身碎骨
fuuq	風生水起
fuuu	蝮蛇螫手
fssw	發散思維
fute	俯首帖耳
futm	俯首聽命
futp	粉飾太平
futu	飛聲騰實\t飛昇騰實
fswf	撫綏萬方
fuwj	福壽無疆
fuwu	分身無術
fuwx	附上罔下
fuwy	翻手爲雲\t覆手爲雨
fsxg	風俗習慣
fsxl	分絲析縷
fuyc	豐神異彩
fuyh	焚屍揚灰
fuyj	分守要津\t逢時遇節
fuyl	翻山越嶺\t飛沙揚礫\t飛砂揚礫
fuyq	俯拾仰取
fuyu	飯蔬飲水
fuyx	風霜雨雪
fuvg	髮上指冠
fuzj	飛觴走斝
fuzl	犯上作亂\t飛沙走礫
fuvm	輔世長民
fuzu	飛沙走石\t飛砂走石
fuvs	膚受之訴
fuvu	飛砂轉石
fuvt	飛上枝頭
fuzw	反身自問
fuzx	飛書走檄
fuvx	匪石之心
fuvy	膚受之言
ftbl	方頭不劣\t方頭不律
ftbr	糞土不如
ftbu	馮唐白首
ftih	發禿齒豁
ftiy	奉天承運
ftdd	飛天遁地
ftde	肥頭大耳
ftdh	赴湯蹈火
ftdm	肥頭大面
ftex	非同兒戲
ftfd	翻天覆地
ftfx	非同凡響
fthu	鳳嘆虎視
ftjh	佛頭加穢
ftkl	分庭抗禮\t分庭伉禮
ftls	服田力穡
ftnu	反聽內視
ftpe	肥頭胖耳
ftpl	方桃譬李
ftrq	風土人情
ftry	凡胎肉眼
ftuc	奉頭鼠竄
ftsl	凡桃俗李
ftuu	反聽收視
fttb	馮唐頭白
ftvf	佛頭着糞
ftvh	焚天煮海\t飛土逐害
ftvj	風頭正勁
ftvu	風頭正盛
ftxi	非同尋常
ftxk	非同小可
ftxl	分條析理
ftyb	非同一般
ftyj	蜂屯蟻聚
ftyl	馮唐易老\t馮唐已老
ftyu	風調雨順
ftzd	翻天作地
ftvd	沸天震地
ftvg	凡胎濁骨
ftvq	發棠之請
ftvr	飛土逐肉
ftvt	凡胎濁體
fvcn	風燭殘年
fvdl	付諸東流\t付之東流
fvll	負債累累
fvqu	反治其身
fvqx	負重前行
fvtl	紛至沓來\t紛至踏來
fvuj	付諸實踐
fvvc	方針政策
fvvn	風燭之年
fvvt	複製粘貼
fvvv	風中之燭
fvvy	負重致遠
fvxd	付諸行動
fvxl	福至心靈
fvxm	服裝鞋帽
fvxy	附贅懸疣
fvyj	付之一炬
fvyq	粉妝玉砌
fvyr	反之亦然
fvyv	粉妝玉琢
fvzh	父債子還
fvzx	飛針走線
fwbg	分我杯羹
fwbj	豐屋蔀家
fwbm	分文不名\t蜚瓦拔木
fwbq	分文不取
fwbv	分文不值\t分文不直
fwif	返我初服
fwdj	防微杜漸
fwdl	扶危定亂
fwdx	防微杜釁
fwem	法無二門
fwgd	防衛過當
fwgn	奉爲圭臬
fwhh	法網恢恢
fwjk	扶危濟困
fwkd	法無可貸
fwke	法外開恩
fwkm	奉爲楷模
fwlf	鳳舞龍飛
fwlg	鳳舞鸞歌
fwlp	鳳舞龍蟠
fwly	廢物利用\t防微慮遠
fwmj	繁文末節
fwql	發屋求狸
fwqy	浮文巧語
fwrh	飛文染翰
fwrj	繁文縟節
fwrl	煩文縟禮
fwrw	廢文任武
fwur	法外施仁
fwuv	福無雙至
fwuz	豐屋生災
fwvr	方外之人
fwwq	分文未取
fwwr	覆亡無日
fwyh	分外眼紅
fwyr	分外妖嬈
fwyz	豐屋延災
fwvb	奉爲至寶
fwvg	豐屋之過
fwvh	豐屋之禍
fwzl	非我族類
fwzu	風聞奏事
fwzy	父爲子隱
fxax	芳心暗許
fxbl	發憲布令\t分星撥兩\t分星擘兩
fxbx	放心不下
fxcy	風行草偃
fxdi	風旋電掣
fxdd	繁星點點
fxdg	翻箱倒櫃
fxdl	焚香頂禮
fxdq	翻箱倒篋
fxdu	分宵達曙
fxeg	拂袖而歸
fxeq	拂袖而去
fxfl	費心費力
fxfu	吠形吠聲
fxfx	複習複習
fxgd	風險共擔
fxgf	分心掛腹
fxgq	分形共氣
fxgu	奉行故事
fxgv	福星高照\t返邪歸正
fxhj	逢凶化吉
fxjg	繁弦急管
fxjh	負薪救火
fxjj	風雪交加
fxjt	放心解體
fxlb	焚香禮拜
fxlg	鳳簫龍管\t鳳簫鸞管
fxlh	鳳協鸞和
fxlp	浮想聯翩
fxlq	分形連氣
fxmb	焚香膜拜
fxml	分香賣履
fxmt	繁星滿天
fxmy	焚香沐浴
fxnh	風信年華
fxpj	分鞋破鏡
fxpl	分星劈兩
fxrh	返虛入渾
fxrm	飛熊入夢
fxry	赴險如夷
fxsd	焚香掃地
fxsj	繁星似錦
fxuj	非昔是今
fxuu	風行水上
fxux	防心攝行
fxti	鳳梟同巢
fxtd	放下屠刀\t放心托膽
fxtq	分形同氣
fxtz	風險投資
fxwa	方興未艾
fxwt	發現問題
fxwy	負心違願\t方興未已
fxxu	發硎新試\t封豨修蛇
fxxv	腹心相照
fxyh	風瀟雨晦
fxyu	風行一時
fxvf	伐性之斧\t繁刑重賦
fxvj	腹心之疾
fxzw	撫心自問
fxvy	負薪之憂
fybc	風雨不測
fybg	分一杯羹\t風雨不改
fybh	風雲變幻\t飛揚跋扈
fybj	婦幼保健
fybq	飛鷹奔犬
fybr	浮雲蔽日
fybu	反眼不識
fybt	風雨不透\t風雲變態
fyid	飛雲掣電
fyig	髮踊沖冠
fyil	發揚踔厲
fyiq	飛眼傳情
fyiw	魴魚赬尾
fyix	富有成效
fycy	風言醋語
fydb	浮一大白
fydi	風雨對牀
fydl	發揚蹈厲
fydr	肥魚大肉
fydt	伐異黨同
fydx	奮勇當先
fyel	蜂擁而來
fyem	防芽遏萌
fyer	蜂擁而入
fyeu	蜂擁而上
fyev	蜂擁而至
fyfg	浮雲富貴
fyfh	匪夷匪惠
fyfu	吠影吠聲
fyfy	翻雲覆雨\t風言風語\t風影敷衍\t附庸風雅\t覆雨翻雲
fyfz	飛揚浮躁
fygd	發揚光大
fygl	反應過來\t放言高論
fyhf	福倚禍伏
fyji	風雨兼程
fyjh	風雲際會
fyjj	風雨交加\t犯顏極諫
fyjv	佛要金裝
fyjx	方言矩行
fykj	犯顏苦諫
fyku	方員可施
fyli	鳳吟鸞吹
fylj	方以類聚\t腹有鱗甲
fylk	幅員遼闊
fylq	鳳臆龍鬐
fylu	敷衍了事
fypy	風雨飄搖
fyqb	罰一勸百\t諷一勸百
fyqc	放言遣辭
fyqd	泛應曲當\t縫衣淺帶
fyqj	髮引千鈞
fyqq	風雨悽悽
fyri	防意如城
fyrf	奉揚仁風
fyrh	風雨如晦\t放魚入海
fyrp	風雨如磐
fyrr	非異人任
fyrw	風雲人物
fysc	煩言碎辭
fysd	飛也似的
fyuj	放眼世界
fysq	烽煙四起
fyss	匪夷所思
fyuw	浮游生物\t鳳儀獸舞
fyux	繁衍生息
fysz	敷衍塞責
fyuz	俯仰生姿
fysv	放意肆志
fytb	風雲突變
fytf	發隱擿伏
fyth	斧鉞湯鑊
fytm	蜚英騰茂
fytv	風雨同舟
fyvj	俯仰之間\t犯言直諫
fyvu	扶搖直上
fywb	風月無邊
fywk	負隅頑抗\t俯仰無愧
fywl	扶搖萬里
fywr	反以爲榮
fyww	俯仰唯唯
fywz	風雨無阻
fyxc	浮語虛辭
fyxi	分煙析產
fyxg	非意相干
fyxk	佛眼相看
fyxu	分煙析生
fyxt	風雨蕭條
fyyc	風韻猶存
fyyk	反咬一口
fyyl	風雲月露
fyyr	俯仰由人
fyyt	發言盈庭
fyzb	飛檐走壁\t飛沿走壁
fyzg	飛鷹走狗
fyzh	飛殃走禍
fyzj	飛檐走脊
fyvl	浮雲朝露
fyzm	飛鷹走馬
fyvq	放鷹逐犬
fyzq	飛鷹走犬
fyzu	豐衣足食
fyzs	誹譽在俗
fyzt	紛紜雜沓
fyzw	非愚則誣
fyvx	匪伊朝夕
fyzx	父嚴子孝
fyvv	風雲之志\t斧鉞之誅
fzba	煩躁不安
fvbd	付之丙丁
fvbe	方正不阿
fzbj	放縱不羈\t放縱不拘
fvbj	腹中兵甲
fvbl	反正撥亂
fzby	煩躁不已
fvby	繁徵博引
fvbv	風中秉燭
fzid	放縱馳蕩
fvig	發植穿冠
fzih	奉子成婚
fziy	風姿綽約
fzdh	否則的話
fzdm	伐罪弔民
fzdr	伐罪吊人
fvdx	撫掌大笑
fzff	發自肺腑
fvfj	泛宅浮家
fzfz	犯罪分子
fvhi	反正還淳
fvhg	返照回光
fzhh	飛災橫禍
fvhq	付諸洪喬
fvju	范張雞黍
fvjy	飛珠濺玉
fzlj	浮蹤浪跡
fznx	發自內心
fvpf	焚舟破釜
fzqk	犯罪前科
fvur	發政施仁
fvuy	釜中生魚
fzwa	方滋未艾
fzwi	腹載五車
fvxj	繁枝細節\t分章析句
fzxu	放在心上
fzyl	放在眼裏\t方足圓顱
fvyl	方趾圓顱
fvym	風櫛雨沐
fzyr	方鑿圓枘
fvyt	付之一嘆
fvyx	付之一笑
fvyy	釜中游魚
fzzd	夫子自道
fvvj	覆舟之戒
fvzl	髮指眥裂
fzvu	發綜指示\t發蹤指使\t發蹤指示\t發縱指使\t發縱指示
fzvz	富在知足
gabq	孤傲不羣
gafj	公安分局
gagh	敢愛敢恨\t隔岸觀火
gapu	高矮胖瘦
gaug	高岸深谷
gauy	各安生業
gatm	各安天命
gayy	苟安一隅
gazd	高傲自大
gbau	孤標傲世
gbbl	古巴比倫
gbii	功敗垂成
gbci	隔壁攛椽
gbcm	敢不從命
gbim	敢不承命
gbiy	功薄蟬翼
gbdd	詭變多端
gbdg	功不抵過
gbdt	廣播電臺
gbdv	寡不敵衆
gbdx	各奔東西
gbfj	管鮑分金
gbfz	概不負責
gbgl	顧不過來
gbgx	高不高興
gbgy	改步改玉
gbhg	哥本哈根
gbjd	宮保雞丁
gbjn	國步艱難
gbkd	高不可登
gbkm	功不可沒
gbkn	更不可能
gbkp	高不可攀
gbku	高步闊視
gblb	個把禮拜
gblc	乾巴利脆
gbll	乾巴利落
gbmf	官逼民反
gbmg	割臂盟公
gbpy	固本培元
gbqi	搞不清楚\t各奔前程
gbqr	果不其然
gbqu	功標青史
gbsi	公報私仇\t官報私仇\t公報私讎
gbth	隔壁聽話
gbtq	高步通衢
gbvj	管鮑之交
gbvt	個把鐘頭
gbvx	官卑職小
gbxf	甘拜下風\t甘敗下風
gbxg	鬼不像鬼
gbxm	各不相謀
gbxq	個把星期
gbxr	各不相讓\t格不相入
gbxu	個把小時
gbxt	各不相同
gbxv	改變現狀
gbyj	蓋不由己
gbyq	供不應求\t高步雲衢
gbyu	更不用說
gbyv	故佈疑陣
gbyy	根本原因
gbzf	故步自封\t固步自封
gbvm	割臂之盟
gbzy	剛愎自用
gibj	功成不居
gibv	攻城拔寨
gicd	肝腸寸斷
gcdd	高才大德
gidh	更唱迭和\t更唱疊和
gcdm	光彩奪目
gidq	高潮迭起
gidr	鬼出電入
gcdx	高才大學
gidy	共產黨員
gifj	功成弗居
gifu	孤雛腐鼠\t膏脣販舌
gigi	觀察觀察
gigk	功成骨枯
gcgw	公才公望
gigv	管喫管住
gihd	改朝換代
gihx	改朝換姓
gijc	觥籌交錯
gije	剛腸嫉惡
gijg	貫穿今古
gijh	國仇家恨
gijj	各持己見
gcjx	高才絕學
gcjz	高材捷足\t高材疾足\t高才疾足\t高才捷足
gild	攻城略地\t攻城掠地
gilh	乾柴烈火
gcll	乾脆利落
gilu	貫徹落實
gclu	官倉老鼠
gcls	乾脆利索
gimd	更長夢短
gimj	功成名就
gimm	膏車秣馬
gims	功成名遂
gimy	管城毛穎
ginu	鼓脣弄舌
ginz	孤臣孽子
gipw	根椽片瓦
giqu	膏脣岐舌
gcqv	各從其志
giry	高唱入雲
gcub	顧此失彼
giui	高城深池
gcum	過從甚密
gism	高車駟馬
giuu	膏脣試舌\t膏脣拭舌
giut	功成身退
gcvr	光彩照人
gixk	膏場繡澮
gixl	甘處下流
gixm	功成行滿
gixw	刮腸洗胃
giyi	高出一籌
gcyj	改操易節
giyj	宮車晏駕
gcyu	高才遠識
giyv	攻城野戰
givj	干城之將
gcvu	高才卓識
givx	貫徹執行
givy	共產主義
gdbj	怪誕不經
gdbn	扛鼎抃牛
gdbp	高低不平
gdbt	狗膽包天\t古調不彈
gdby	感動不已
gdii	割地稱臣
gdij	耕讀傳家
gdir	孤犢觸乳
