he	他\t氦
divorcee	離婚者
divorcement	離婚
divot	草皮
divulge	泄露
divulged	泄露的
divulges	泄露
divulging	泄露
divulsion	撕裂
divvy	分配
divx	視頻格式
dixie	南方
dixiecrats	南方民主黨
dixieland	爵士樂
dixon	迪克森
diy	自己動手
do it yourself	自己動手
dizzily	眩暈地
dizziness	眩暈
dizzy	眩暈的
dj	音樂主持人
djakarta	雅加達
django	框架
djibouti	吉布提
djvu	文檔格式
downloadable content	可下載內容
dlc	可下載內容
dll	動態鏈接庫
dmarc	郵件認證報告一致性
dmca	數字千年版權法
digital millennium copyright act	數字千年版權法
dmitri	德米特里
dna	脫氧核糖核酸
deoxyribonucleic acid	脫氧核糖核酸
dna	脫氧核糖核酸
dnd	龍與地下城
dungeons & dragons	龍與地下城
d&d	龍與地下城
dnieper	第聶伯河
dns	域名系統
domain name system	域名系統
dnsmasq	dns服務器
dns over https	https上的dns
dns over https/	https/上的dns
dns over quic	quic上的dns
dnssec	域名系統安全擴展
do	做
doable	可行的
dobber	傻瓜
dobbin	多賓
dobbs	多布斯
doberman	杜賓犬
dobsonfly	魚蛉
doc	文檔
docx	文檔
docile	溫順
docility	溫順
dock	碼頭
docked	停靠
docker	碼頭工人
docker hub	docker hub
docket	摘要
docking	對接
dockmaster	碼頭主管
docks	碼頭
dockside	碼頭邊
dockyard	船塢
docs	文檔
doctor	醫生
doctoral	博士的
doctorate	博士學位
doctorates	博士學位
doctored	篡改
doctors	醫生
doctrinaire	教條主義者
doctrinairism	教條主義
doctrinal	教義的
doctrinarism	教條主義
doctrine	教義
doctrines	教義
docume	文檔
document	文件
documentaries	紀錄片
documentary	紀錄片
documentation	文檔
documentations	文檔
documented	已記錄
documenter	記錄者
documenters	記錄者
documenting	記錄中
documents	文件
docusaurus	多庫索斯
docutem	文檔系統
dodd	多德
dodder	菟絲子
doddered	衰老的
doddering	蹣跚的
dodecagon	十二邊形
dodecahedra	十二面體
dodecahedral	十二面體的
dodecahedron	十二面體
dodge	躲避
dodgeball	躲避球
dodged	已躲避
dodger	躲避者
dodgers	躲避者
dodging	躲避中
dodgy	狡猾的
dodington	多丁頓
dodo	渡渡鳥
dodson	多德森
doe	母鹿
doer	行動者
doers	實幹者
does	做
doeskin	鹿皮
doesn't	不
doesnot	不
doff	脫
dog	狗
dogate	總督
dogbane	毒狗草
dogberry	山茱萸
dogcart	狗車
doge	總督
dogecoin	狗狗幣
dogface	士兵
dogfight	空戰
dogfish	角鯊
dogg	狗
dogged	頑強
doggedly	頑強地
doggedness	頑強
dogger	荷蘭漁船
doggerel	打油詩
doggery	狗窩
doggie	小狗
dogging	尾隨
doggish	狗似的
doggone	該死的
doghole	狗洞
doghouse	狗屋
dogleg	狗腿彎
dogma	教條
dogmas	教條
dogmatic	教條的
dogmatism	教條主義
dogmatist	教條主義者
dogmeat	狗肉
dogs	狗
dogsbody	雜役
dogshore	撐岸木
dogskin	狗皮
dogsleep	假寐
dogtooth	犬齒
dogtown	狗鎮
dogwatch	夜班崗
dogwood	山茱萸
doh	衛生部
dns over https	https上的dns
dns over https/	https/上的dns
doherty	多爾蒂
doily	小墊布
doing	做
doings	行爲
doited	糊塗的
dol	多爾
dolan	多蘭
dolby	杜比
dolce	甜美的
doldrum	低迷
doldrums	憂鬱
dole	救濟金
doled	發放
doleful	悲傷的
dolefully	悲傷地
dolerite	輝綠岩
doles	發放
doll	玩偶
dollar	美元
dollars	美元
dollies	玩偶
dollish	玩偶似的
dollop	一團
dolls	玩偶
dolly	手推車
dolomite	白雲石
dolores	多洛雷斯
dolphin	海豚
dolphins	海豚
dolt	傻瓜
doltish	愚蠢的
dom	主
dom	文檔對象模型
domain	領域
domain name system	域名系統
domains	領域
dome	穹頂
domed	圓頂的
domelike	穹頂狀的
domenico	多梅尼科
domes	穹頂
domesday	末日審判書
domestic	國內
domestically	國內地
domesticate	馴養
domesticated	馴養的
domesticates	馴養物
domesticating	馴養中
domestication	馴化
domesticity	家庭生活
domicile	住所
domiciliary	住所的
dominance	支配
dominant	主導的
dominantly	主導地
dominate	支配
dominated	被支配的
dominates	支配
dominating	支配中
domination	統治
dominator	統治者
domineer	專橫
domineering	專橫的
domingo	多明戈
dominic	多米尼克
dominica	多米尼加
dominical	主日的
dominican	多米尼加的
dominicans	多米尼加人
dominick	多米尼克
dominie	牧師
dominion	統治權
dominique	多米尼克
domino	多米諾
dominoes	多米諾骨牌
don	穿上
don't	不要
dona	夫人
donahue	多納休
donald	唐納德
donaldson	唐納森
donate	捐贈
donated	捐贈了
donates	捐贈
donating	捐贈中
donation	捐贈
donations	捐贈
donative	捐贈的
donator	捐贈者
doncaster	唐卡斯特
done	完成
doneck	多內克
donee	受贈人
dong	盾
donga	峽谷
donjon	城堡主樓
donkey	驢
donkeys	驢羣
donkeywork	苦工
donna	唐娜
donnelly	唐納利
donner	唐納
donnish	學究的
donnybrook	鬥毆
donor	捐贈者
donors	捐贈者
donovan	多諾萬
dons	穿上
doodie	便便
doodle	塗鴉
doohickey	小玩意兒
dooley	杜利
doolittle	杜立德
doom	厄運
doomed	註定的
dooming	註定
dooms	註定
doomsday	末日
door	門
doorbell	門鈴
doorjamb	門框
doorkeeper	看門人
doorknob	門把手
doorman	門衛
doormat	門墊
doormen	門衛
doornail	門釘
doorplate	門牌
doorpost	門柱
doors	門
doorsill	門檻
doorstep	門階
doorsteps	門階
doorstop	門擋
doorway	門口
doorways	門口
dooryard	門前庭院
dooyoo	杜優
dopant	摻雜劑
dope	毒品
doped	摻入的
doper	吸毒者
dopers	吸毒者
dopes	毒品
dopester	內幕消息人士
dopey	遲鈍的
doping	使用興奮劑
doppler	多普勒
doq	基於quic的dns
dns over quic	基於quic的dns
dor	多爾
dora	朵拉
dork	傻瓜
dorado	劍魚座
dorcas	多加
dorchester	多切斯特
doreen	多琳
doria	多里亞
dorian	多利安式
doric	多立克式
doricize	多立克化
doricizes	多立克化
doris	多麗絲
dorm	宿舍
dormancy	休眠
dormant	休眠的
dormitories	宿舍
dormitory	宿舍
dormouse	睡鼠
dormy	領先的
dorothea	多蘿西婭
dorothy	多蘿西
dorp	村莊
dorsal	背部的
dorset	多塞特
dorsetshire	多塞特郡
dortmund	多特蒙德
dory	鯛魚
dos	劑量
denial-of-service attack	拒絕服務攻擊
dos	拒絕服務攻擊
dos	磁盤操作系統
disk operating system	磁盤操作系統
dosage	劑量
dose	劑量
dosed	服藥的
doses	劑量
dosimeter	劑量計
dosimetry	劑量測定
doss	睡覺
dossal	祭壇布
dosshell	貝殼
dossier	檔案
dossiers	檔案
dostoevsky	陀思妥耶夫斯基
dot	點
dota	刀塔
dotage	衰老
dotal	嫁妝的
dotcover	點覆蓋
dote	溺愛
doted	溺愛
dotes	溺愛
doting	溺愛的
dotingly	溺愛地
dotmemory	點內存
dotpeek	點窺探
dots	點
dotted	點綴
dotting	點綴
dottrace	點追蹤
dotty	古怪的
double	雙
doubled	加倍
doubleday	道布爾迪
doubleguard	雙衛
doubleheader	雙賽
doubler	倍增器
doublers	倍增器
doubles	雙打
doublet	對襟衣
doublethink	雙重思想
doubleton	雙張
doublets	雙胞胎
doubling	加倍
doubloon	金幣
doubly	加倍地
doubt	懷疑
doubtable	可疑的
doubted	懷疑過
doubter	懷疑者
doubters	懷疑者
doubtful	可疑的
doubtfully	懷疑地
doubting	懷疑中
doubtless	無疑的
doubtlessly	無疑地
doubts	懷疑
douce	溫和的
douche	沖洗
doug	道格
dough	麪糰
doughboy	步兵
dougherty	多爾蒂
doughnut	甜甜圈
doughnuts	甜甜圈
doughtily	勇敢地
doughty	勇敢的
doughy	麪糰狀的
douglas	道格拉斯
douglass	道格拉斯
dour	陰鬱的
douse	澆滅
dove	鴿子
dovecot	鴿舍
dover	多佛
doves	鴿子
dovetail	吻合
dovish	鴿派
dow	道指
dowager	遺孀
dowdily	邋遢地
dowdy	邋遢
dowel	木釘
dower	嫁妝
dowling	道林
down	向下
downbeat	弱拍
downcast	沮喪
downed	擊落
downer	沮喪
downers	鎮靜劑
downey	唐尼
downfall	垮臺
downfallen	垮臺
downgrade	降級
downgraded	降級
downgrades	降級
downgrading	降級
downhearted	灰心
downhill	下坡
downie	唐尼
downie	唐尼
downing	唐寧
downlink	下行鏈路
downlinks	下行鏈路
download	下載
downloadable	可下載
downloadable content	可下載內容
downloaded	已下載
downloading	正在下載
downloads	下載
downplay	淡化
downplayed	淡化了
downplaying	淡化
downplays	淡化
downpour	暴雨
downright	徹底
downs	唐斯
downscale	縮減
downside	缺點
downsize	裁員
downstage	舞臺前部
downstairs	樓下
downstate	州南部
downstream	下游
downthrow	下落斷層
downtime	停機時間
downtown	市中心
downtowns	市中心
downtrend	下降趨勢
downtrodden	受壓迫的
downturn	衰退
downward	向下
downwards	向下
downwind	順風
downy	柔軟的
dowry	嫁妝
dowse	探測
dowser	探測者
doxology	讚美詩
doyen	元老
doyenne	女元老
doyle	道爾
doze	打盹
dozed	打盹了
dozen	一打
dozens	許多
dozenth	第十二
dozes	打盹
dozing	打盹中
dozy	睏倦的
dpi	分辨率
dr	博士
dra	德拉
drab	單調的
drabb	單調的
drabble	拖溼
draco	天龍座
draconian	嚴酷的
draconic	龍的
dracula	德古拉
draft	草案
drafted	起草的
draftee	應徵者
drafter	起草人
drafters	起草人
drafting	起草
drafts	草案
draftsman	繪圖員
draftsmen	繪圖員
drafty	通風的
drag	拖
dragged	拖拽的
dragging	拖拽
draggle	拖髒
draggy	拖沓的
dragnet	拖網
dragoman	翻譯員
dragon	龍
dragon ball	龍珠
dragonfly	蜻蜓
dragonhead	龍頭
dragons	龍
dragoon	騎兵
dragooned	強徵的
dragoons	騎兵
dragrope	拖繩
drags	拖
drail	拖繩
drain	排水
drainage	排水系統
drained	排水的
drainer	排水器
draining	排水
drainpipe	排水管
drains	排水溝
drake	公鴨
dram	打蘭
drama	戲劇
dramamine	暈海寧
dramas	戲劇
dramatic	戲劇性的
dramatically	戲劇性地
dramatics	戲劇表演
dramatist	劇作家
dramatists	劇作家
dramatization	戲劇化
dramatize	戲劇化
dramshop	酒館
drank	喝
drape	懸掛
draped	懸掛的
draper	布商
draperies	帷幔
drapers	布商
drapery	帷幔
drapes	窗簾
drastic	激烈的
drastically	激烈地
drat	討厭
draught	通風
draughts	西洋跳棋
draughty	透風的
drauhghts	通風
dravidian	達羅毗荼
draw	畫
drawback	缺點
drawbacks	缺點
drawbar	牽引杆
drawber	牽引杆
drawbridge	吊橋
drawbridges	吊橋
drawdown	下降
drawer	抽屜
drawers	抽屜
drawing	繪畫
drawings	圖紙
drawl	慢吞吞說
drawled	慢吞吞說
drawling	慢吞吞說
drawls	慢吞吞說
drawn	畫好的
drawnly	疲憊地
drawnness	疲憊
draws	畫
drawstring	束帶
dray	運貨馬車
drayage	運費
drayman	馬車伕
dread	恐懼
dreaded	可怕的
dreadful	糟糕的
dreadfully	可怕地
dreading	害怕
dreadnought	無畏艦
dreads	恐懼
dream	夢
dreamboat	夢中情人
dreamcast	夢想播送
dreamed	夢到
dreamer	夢想家
dreamers	夢想家
dreamily	夢幻地
dreaming	做夢
dreamland	夢境
dreamless	無夢的
dreamlike	夢幻般的
dreams	夢想
dreamt	夢到
dreamweaver	織夢者
dreamy	夢幻的
drearily	沉悶地
dreariness	沉悶
dreary	沉悶的
dredge	疏浚
dredger	挖泥船
dreg	渣滓
dreggy	渾濁的
dregs	殘渣
drench	浸透
drenched	溼透的
drencher	傾盆大雨
drenches	浸透
drenching	浸透
dresden	德累斯頓
dress	連衣裙
dressage	馬術
dressed	穿着
dresser	梳妝檯
dressers	梳妝檯
dresses	連衣裙
dressing	調料
dressings	調料
dressmaker	裁縫
dressmakers	裁縫
dressmaking	製衣
dressy	時髦
drew	畫了
drexel	德雷克塞爾
dreyfuss	德雷福斯
drib	滴
dribble	滴
dried	乾燥
drier	乾燥機
driers	乾燥機
dries	乾燥
driest	最乾燥
drift	漂流
driftage	漂流物
drifted	漂流
drifter	漂流者
drifters	漂流者
drifting	漂移
drifts	漂移
driftwood	浮木
drill	鑽
drilled	鑽過
driller	鑽工
drilling	鑽孔
drillmaster	教官
drills	鑽頭
drily	乾巴巴地
drink	喝
drinkable	可飲用的
drinker	飲酒者
drinkers	飲酒者
drinking	飲酒
drinks	飲料
drip	滴
dripolator	滴濾壺
dripping	滴落
drippy	溼漉漉的
drips	水滴
dripstone	滴水石
dript	滴過
driscoll	德里斯科爾
drive	駕駛
drivel	胡言亂語
driven	被驅使
driver	司機
drivers	司機
drives	驅動
driveway	車道
driveways	車道
driving	駕駛
drizzle	細雨
drizzly	下細雨的
drogher	貨船
drogue	浮錨
droit	權利
droll	滑稽的
drollery	滑稽
drolly	滑稽地
dromedary	單峯駝
drone	雄蜂
drones	雄蜂
drool	流口水
droop	下垂
drooped	下垂的
drooping	下垂的
droops	下垂
droopy	下垂的
drop	掉落
dropbox	投遞箱
dropkick	踢落地球
droplet	小滴
dropout	輟學者
dropped	掉落的
dropper	滴管
droppers	滴管
dropping	掉落
droppings	糞便
drops	滴落
dropstone	墜石
dropt	掉落
dropzone	空降區
drosophila	果蠅
dross	渣滓
drossy	含渣的
drought	乾旱
droughts	乾旱
drove	驅趕
drover	牧人
drovers	牧人
droves	人羣
drown	淹死
drowne	淹死
drowned	淹死的
drowning	溺水
drownings	溺亡事件
drowns	淹死
drowse	瞌睡
drowsily	昏昏欲睡地
drowsiness	睏倦
drowsy	睏倦的
drst	乾燥
drub	敲打
drubbing	痛打
drudge	苦工
drudgery	苦差事
drug	藥物
druggist	藥劑師
druggists	藥劑師
drugs	藥品
drugstore	藥店
druid	德魯伊
druidism	德魯伊教
drum	鼓
drumbeat	鼓聲
drumhead	鼓面
drumlin	鼓丘
drummed	敲鼓
drummer	鼓手
drummers	鼓手
drumming	擊鼓
drummond	德拉蒙德
drums	鼓
drumstick	鼓槌
drumsticks	鼓槌
drunk	醉的
drunkard	醉漢
drunkards	醉漢
drunken	醉酒的
drunkenness	醉酒
drunker	更醉
drunkly	醉醺醺地
drunkometer	酒精檢測儀
drunks	醉漢
drupaceous	核果的
drupal	德魯帕爾
drupe	核果
drury	德魯裏
druse	晶簇
dry	乾燥
dryad	樹精
dryasdust	枯燥
dryden	德萊頓
dryer	烘乾機
dryers	烘乾機
drygoods	乾貨
drying	乾燥
dryish	略幹
dryly	冷淡地
dryness	乾燥
drypoint	幹刻
drysalter	乾貨商
drysaltery	乾貨店
dsi	數字
dtr	數據
dual	雙重
dualism	二元論
dualist	二元論者
dualistic	二元的
dualities	二元性
duality	二元性
duane	杜安
duang	咚
dub	配音
dubai	迪拜
dubbed	配音的
dubbing	配音
dubbo	達博
dubhe	北斗一
dubiety	懷疑
dubious	可疑
dubiously	可疑地
dubiousness	可疑性
dubitable	可疑的
dublin	都柏林
dubs	配音
dubuque	迪比克
ducal	公爵的
duchenne	杜興
duchess	公爵夫人
duchesses	公爵夫人
duchy	公國
duck	鴨子
duckdb	鴨數據庫
duckduckgo	鴨鴨搜
ducked	躲避
ducker	潛水者
ducking	躲避
duckling	小鴨
ducks	鴨羣
duckweed	浮萍
ducky	可愛的
duct	管道
ductile	可延展的
ductless	無管的
ducts	管道羣
dud	啞彈
dude	老兄
dudgeon	憤怒
dudley	達德利
due	應得
duel	決鬥
dueling	決鬥
duels	決鬥
dues	會費
duet	二重奏
duettist	二重奏者
duff	無價值
duffy	達菲
dug	挖掘
dugan	杜根
dugong	儒艮
dugout	獨木舟
duke	公爵
dukedom	公爵領地
dukes	公爵
dulcet	悅耳
dulciana	甜美音栓
dulcify	使甜美
dulcimer	揚琴
dull	遲鈍
dullard	笨蛋
dulled	變遲鈍
duller	更遲鈍
dulles	杜勒斯
dullest	最遲鈍
dulling	使遲鈍
dullish	略遲鈍
dullness	乏味
dulls	使遲鈍
dully	遲鈍地
dulse	紅藻
duluth	德盧斯
duly	適當地
dumb	啞的
dumbbell	啞鈴
dumbbells	啞鈴
dumber	更笨
dumbest	最笨
dumbfound	使驚呆
dumbly	啞然地
dumbness	啞
dumbstruck	驚呆的
dumdum	笨蛋
dumfound	使困惑
dummies	假人
dummy	假人
dump	傾倒
dumpcart	垃圾車
dumped	被傾倒
dumper	傾倒者
dumping	傾倒
dumpish	愚鈍的
dumpling	餃子
dumps	垃圾場
dumpty	矮胖子
dumpy	矮胖的
dun	討債
dunbar	鄧巴
duncan	鄧肯
dunce	笨蛋
dunces	笨蛋
dundee	鄧迪
dunderhead	傻瓜
dune	沙丘
dunedin	達尼丁
dunes	沙丘羣
dung	糞便
dungaree	工裝褲
dungeon	地牢
dungeons	地牢羣
dungeons & dragons	龍與地下城
dunghill	糞堆
dungy	骯髒的
dunham	鄧納姆
dunhuarng	敦煌
duniwassal	紳士
dunk	扣籃
dunkirk	敦刻爾克
dunlap	鄧拉普
dunlin	濱鷸
dunlop	鄧祿普
dunn	鄧恩
dunne	鄧恩
dunno	不知道
duo	二人組
duodecimal	十二進制
duodecimo	十二開本
duodenal	十二指腸的
duodenum	十二指腸
duodiode	雙二極管
duologue	對話
duoplasmatron	雙等離子體管
dupable	易受騙的
dupe	欺騙
dupery	欺詐
duple	雙倍的
duplex	雙工的
duplexer	雙工器
duplicable	可複製的
duplicate	複製
duplicated	複製的
duplicates	副本
duplicati	複製的
duplicating	複製中
duplication	複製
duplications	複製
duplicator	複印機
duplicators	複印機
duplicity	欺騙
dupont	杜邦
dupont	杜邦
duponts	杜邦
duponts	杜邦
duquesne	杜肯
durabilities	耐久性
durability	耐久性
durable	耐用的
durably	持久地
duralumin	硬鋁
duramen	心材
durance	監禁
durango	杜蘭戈
duration	持續時間
durations	持續時間
durative	持續性的
durban	德班
durer	丟勒
durers	丟勒作品
duress	脅迫
durham	達勒姆
durian	榴蓮
during	在期間
durkee	德基
durkin	德金
durn	該死
durra	高粱
durrell	德雷爾
durum	硬粒小麥
durward	德沃德
dusenberg	杜森伯格
dusenbury	杜森伯裏
dusk	黃昏
duskily	昏暗地
duskiness	昏暗
dusky	昏暗的
dusseldorf	杜塞爾多夫
dust	灰塵
dustbin	垃圾桶
dusted	除塵
duster	抹布
dusters	抹布
dustier	更髒
dustiest	最髒
dustin	達斯汀
dusting	除塵
dustman	清潔工
dustpan	簸箕
dustproof	防塵
dusts	灰塵
dustup	爭吵
dusty	佈滿灰塵
dutch	荷蘭
dutchess	公爵夫人
dutchman	荷蘭人
dutchmen	荷蘭人
duteous	盡職
dutiable	應徵稅
duties	職責
dutiful	盡職
dutifully	盡職地
dutifulness	盡職
dutton	達頓
duty	責任
duumvir	雙執政官
dvd	光盤
dvd	光盤
dvds	光盤
dvorak	德沃夏克
dwarf	矮人
dwarfed	矮小的
dwarfish	矮小的
dwarfs	矮人
dwarves	矮人
dwell	居住
dwelled	居住過
dweller	居民
dwellers	居民
dwelling	住所
dwellings	住所羣
dwells	居住
dwelt	居住過
dwight	德懷特
dwindle	減少
dwindled	減少了
dwindling	減少中
dwyer	德懷爾
dy	染色
dyad	二元
dyadic	二元的
dyak	達雅克
dye	染料
dyed	染色的
dyeing	染色中
dyer	染工
dyers	染工
dyes	染料
dyestuff	染料
dying	垂死
dyke	堤壩
dylan	迪倫
dynacomm	動態通信
dynamic	動態
dynamical	動態的
dynamically	動態地
dynamics	動力學
dynamism	活力
dynamite	炸藥
dynamited	炸燬
dynamiter	爆破手
dynamites	炸藥
dynamiting	爆破
dynamo	發電機
dynamometer	測力計
dynamometry	測力法
dynast	君主
dynastic	王朝的
dynasties	朝代
dynasty	王朝
dynatron	負阻管
dyne	達因
dynode	倍增電極
dyor	自行研究
do your own research	自行研究
dysenteric	痢疾的
dysentery	痢疾
dysfunction	功能障礙
dysgenic	劣生
dyslexia	閱讀障礙
dyslogistic	貶義的
dyson	戴森
dyspeptic	消化不良的
dysprosium	鏑
dystocia	難產
dystrophy	營養不良
dysuria	排尿困難
e-business	電子商務
e-mail	電子郵件
e.g.	例如
each	每個
eagan	伊根
eager	渴望
eagerly	急切地
eagerness	渴望
eagle	鷹
eagles	鷹羣
eaglet	雛鷹
ear	耳朵
earache	耳痛
eardrop	耳墜
eardrum	耳膜
eared	有耳的
earflap	耳罩
earful	斥責
earing	耳環
earl	伯爵
earldom	伯爵領地
earless	無耳的
earlier	較早
earliest	最早
earliness	早熟
earlobe	耳垂
earls	伯爵
early	早
early access	搶先體驗
earmark	指定
earmarked	指定的
earmarking	指定
earmarkings	標記
earmarks	指定
earmuff	耳罩
earn	賺
earned	賺得
earner	賺錢者
earners	賺錢者
earnest	認真
earnestly	認真地
earnestness	認真
earning	賺取
earnings	收入
earns	賺得
earom	電可改寫只讀存儲器
earp	厄普
earphone	耳機
earpick	挖耳勺
earpiece	耳塞
earplug	耳塞
earring	耳環
earrings	耳環
ears	耳朵
earshot	聽力範圍
earsplitting	震耳欲聾
earth	地球
earthcrust	地殼
earthen	土製的
earthenware	陶器
earthing	接地
earthliness	世俗
earthling	凡人
earthly	塵世的
earthman	地球人
earthmen	地球人
earthmover	推土機
earthquake	地震
earthquakes	地震
earths	地球
earthshaking	驚天動地
earthward	向地
earthworm	蚯蚓
earthworms	蚯蚓
earthy	樸實的
earwax	耳垢
earwig	蠼螋
earworm	耳蟲
ease	緩解
eased	緩解
easeful	舒適的
easel	畫架
easement	地役權
easements	地役權
eases	緩解
easier	更容易
easiest	最容易
easily	容易地
easiness	輕鬆
easing	緩和
eason	伊森
east	東
eastbound	向東的
easter	復活節
easterly	東方的
eastern	東部的
easterner	東部人
easterners	東部人
easternmost	最東的
easthampton	伊斯特漢普頓
easting	東行
eastland	伊斯特蘭
eastman	伊斯曼
easton	伊斯頓
eastward	向東
eastwardly	向東的
eastwards	向東
eastwick	伊斯特威克
eastwood	伊斯特伍德
easy	容易
easygoing	隨和的
easyshare	易享
eat	喫
eatable	可食
eaten	喫過
eater	食客
eaters	食客
eatery	餐館
eating	進食
eatings	食物
eaton	伊頓
eats	喫
eave	屋檐
eaves	屋檐
eavesdrop	偷聽
eavesdropped	偷聽過
eavesdropper	竊聽者
eavesdroppers	竊聽者
eavesdropping	竊聽
eavesdrops	偷聽
ebay	易趣
ebb	退潮
ebbing	衰退
ebbs	退潮
ebcdic	編碼
eben	埃本
ebonite	硬橡膠
ebony	烏木
ebook	電子書
ebooks	電子書
ebpf	擴展
ebullience	熱情
ebullient	熱情
ebullition	沸騰
ecard	電子賀卡
ecards	電子賀卡
eccentric	古怪
eccentrically	古怪地
eccentricities	怪癖
eccentricity	古怪
eccentrics	怪人
eccles	埃克爾斯
ecclesia	集會
ecclesiastes	傳道書
ecclesiastic	教士
ecclesiastical	教會的
ecdysiast	脫衣舞者
ecdysis	蛻皮
echarts	圖表庫
apache echarts	圖表庫
echelon	梯隊
echidna	針鼴
echinoderm	棘皮動物
echinus	海膽
echo	回聲
echoed	迴盪
echoes	回聲
echoic	擬聲的
echoing	迴盪
echoism	擬聲
echolocation	回聲定位
eciliter	升
eclampsia	子癇
eclectic	折衷
eclectically	折衷地
eclecticism	折衷主義
eclipse	日食
eclipsed	被遮蔽
eclipses	日食
eclipsing	遮蔽
ecliptic	黃道
eclogue	牧歌
ecm	電子對抗
ecma	歐洲計算機制造商協會
ecmascript	腳本語言
ecole	學校
ecological	生態的
ecologist	生態學家
ecology	生態學
ecommerce	電子商務
econometric	計量經濟
econometrica	計量經濟學刊
econometrics	計量經濟學
economic	經濟的
economical	經濟的
economically	經濟地
economics	經濟學
economies	經濟
economise	節約
economiser	節能器
economist	經濟學家
economists	經濟學家
economization	節約
economize	節省
economized	已節省
economizer	節能器
economizers	節能器
economizes	節省
economizing	節省中
economy	經濟
econpapers	經濟論文
ecosystem	生態系統
ecosystems	生態系統
ecru	米色
ecstasy	狂喜
ecstatic	狂喜的
ecstatically	狂喜地
ectomorph	瘦型體質
ectotherm	變溫動物
ectothermic	變溫的
ectype	複製品
ecuador	厄瓜多爾
ecuadorian	厄瓜多爾的
eczema	溼疹
ed	埃德
ed	勃起功能障礙
edaphic	土壤的
edda	埃達
eddie	埃迪
eddies	漩渦
eddy	漩渦
edelweiss	雪絨花
eden	伊甸園
edenization	伊甸化
edenizations	伊甸化
edenize	伊甸化
edenizes	伊甸化
edentate	貧齒類
edgar	埃德加
edge	邊緣
edged	有刃的
edgerton	埃傑頓
edges	邊緣
edgewater	埃奇沃特
edgeways	側向
edgewood	埃奇伍德
edgily	緊張地
edging	鑲邊
edgy	緊張的
edibility	可食性
edible	可食的
edict	法令
edicts	法令
edification	啓迪
edifice	大廈
edifices	大廈
edify	啓迪
edifying	啓迪的
edinburgh	愛丁堡
edison	愛迪生
edit	編輯
edited	編輯
edith	伊迪絲
editing	編輯
edition	版本
editions	版本
editor	編輯
editorial	社論
editorialise	發表社論
editorially	社論上
editorials	社論
editors	編輯
editress	女編輯
edits	編輯
edmonds	埃德蒙茲
edmondson	埃德蒙森
edmonton	埃德蒙頓
edmund	埃德蒙
edna	埃德娜
edps	電子數據處理
edsger	艾茲格
ed sheeran	艾德·希蘭
edu	教育
eduard	愛德華
eduardo	愛德華多
educ	教育
educability	可教育性
educable	可教育的
educate	教育
educated	受過教育的
educates	教育
educating	教育
education	教育
educational	教育的
educationally	教育上
educations	教育
educative	教育的
educator	教育者
educators	教育者
educe	引出
educt	提取物
eduction	引出
edutools	教育工具
edward	愛德華
edwardian	愛德華時代的
edwardine	愛德華派的
edwards	愛德華茲
edwin	埃德溫
edwina	埃德溫娜
eel	鰻魚
eelgrass	鰻草
eelpout	鱈魚
eels	鰻魚
eelworm	線蟲
eely	鰻魚般的
eerie	詭異的
eerily	詭異地
eeriness	詭異
eff	咒罵
effable	可表達的
efface	抹去
effect	效果
effected	生效
effecting	生效
effective	有效
effectively	有效地
effectiveness	有效性
effector	效應器
effectors	效應器
effects	效果
effectual	有效的
effectually	有效地
effectuate	實現
effectuation	實現
effeminacy	柔弱
effeminate	柔弱的
efferent	傳出
effervesce	冒泡
effervescence	冒泡
effervescent	冒泡的
effete	衰弱的
efficacious	有效的
efficacy	功效
efficiencies	效率
efficiency	效率
efficient	高效的
efficiently	高效地
effie	艾菲
effigies	雕像
effigy	雕像
effloresce	開花
efflorescence	開花
efflorescent	開花的
effluence	流出
effluent	廢水
effluvial	惡臭的
effluvium	惡臭
efflux	流出
effort	努力
effortless	輕鬆的
effortlessly	輕鬆地
effortlessness	輕鬆
efforts	努力
effrontery	厚顏
effulgence	光輝
effulgent	光輝的
effuse	流出
effusion	流出物
effusive	熱情的
extensible firmware interface	可擴展固件接口
eft	水蜥
egalitarian	平等主義的
egan	伊根
egast	埃加斯特
egg	蛋
eggbeater	打蛋器
eggcup	蛋杯
egged	慫恿
egghead	書呆子
egging	慫恿
eggplant	茄子
eggs	蛋
eggshell	蛋殼
eglantine	野薔薇
ego	自我
egocentric	自我中心
egoism	利己主義
egoist	利己主義者
egoistic	利己的
egoistical	利己的
egoistically	利己地
egomania	自大狂
egos	自我
egotism	自負
egotist	自大者
egotistic	自負的
egotistical	自負的
egpu	外置顯卡
egregious	惡劣的
egress	出口
egret	白鷺
egypt	埃及
egyptian	埃及的
egyptianization	埃及化
egyptianizations	埃及化
egyptianize	使埃及化
egyptianizes	使埃及化
egyptians	埃及人
egyptize	使埃及化
egyptizes	埃及化
egyptology	埃及學
ehrlich	埃爾利希
eichmann	艾希曼
eicon	圖像
eider	絨鴨
eiderdown	鴨絨被
eidetic	逼真的
eidolon	幻象
eiffel	埃菲爾
eigenfunction	本徵函數
eigenstate	本徵態
eigenvalue	本徵值
eigenvalues	本徵值
eigenvector	本徵向量
eight	八
eighteen	十八
eighteens	十八
eighteenth	第十八
eightfold	八倍
eighth	第八
eighthes	第八
eighthly	第八
eighties	八十年代
eightieth	第八十
eights	八
eighty	八十
eileen	艾琳
einkorn	單粒小麥
