㑮	㑮\t𫝈
臟	脏
臠	脔
臢	臜
臥	卧
臨	临
臺	台
與	与
興	兴
舉	举
舊	旧
舖	铺
舘	馆
艙	舱
艣	艣\t𫇛
艤	舣
艦	舰
艫	舻
艱	艰
艷	艳
芻	刍
苧	苎
茲	兹
荊	荆
莊	庄
莖	茎
莢	荚
莧	苋
菉	菉\t绿
菕	菕\t𰰨
華	华
菴	庵
菸	烟
萇	苌
萊	莱
萬	万
萴	荝
萵	莴
葉	叶
葒	荭
葝	葝\t𫈎
葤	荮
葦	苇
葯	药
葷	荤
蒍	𫇭
蒐	搜\t蒐
蒓	莼
蒔	莳
蒕	蒀
蒞	莅
蒭	蒭\t𫇴
蒼	苍
蓀	荪
蓆	席
蓋	盖
蓧	蓧\t𦰏
蓮	莲
蓯	苁
蓴	莼
蓽	荜
蔄	𬜬
蔔	卜
蔘	参
蔞	蒌
蔣	蒋
蔥	葱
蔦	茑
蔭	荫
蔯	𫈟
蔿	𫇭
蕁	荨
蕆	蒇
蕎	荞
蕒	荬
蕓	芸
蕕	莸
蕘	荛
蕝	蕝\t𫈵
蕢	蒉
蕩	荡
蕪	芜
蕭	萧
蕳	蕳\t𫈉
蕷	蓣
蕽	蕽\t𫇽
薀	蕰
薆	薆\t𫉁
薈	荟
薊	蓟
薌	芗
薑	姜
薔	蔷
薘	荙
薟	莶
薦	荐
薩	萨
薳	䓕
薴	苧
薵	䓓
薹	苔\t薹
薺	荠
藉	藉\t借
藍	蓝
藎	荩
藝	艺
藥	药
藪	薮
藭	䓖
藴	蕴
藶	苈
藷	藷\t𫉄
藹	蔼
藺	蔺
蘀	萚
蘄	蕲
蘆	芦
蘇	苏
蘊	蕴
蘋	苹\t𬞟
蘚	藓
蘞	蔹
蘟	𦻕
蘢	茏
蘭	兰
蘺	蓠
蘿	萝
虆	蔂
虉	𬟁
處	处
虛	虚
虜	虏
號	号
虧	亏
虯	虬
蛺	蛱
蛻	蜕
蜆	蚬
蝀	𬟽
蝕	蚀
蝟	猬
蝦	虾
蝨	虱
蝸	蜗
螄	蛳
螞	蚂
螢	萤
螮	䗖
螻	蝼
螿	螀
蟂	蟂\t𫋇
蟄	蛰
蟈	蝈
蟎	螨
蟘	蟘\t𫋌
蟜	蟜\t𫊸
蟣	虮
蟬	蝉
蟯	蛲
蟲	虫
蟳	𫊻
蟶	蛏
蟻	蚁
蠀	蠀\t𧏗
蠁	蚃
蠅	蝇
蠆	虿
蠍	蝎
蠐	蛴
蠑	蝾
蠔	蚝
蠙	蠙\t𧏖
蠟	蜡
蠣	蛎
蠦	蠦\t𫊮
蠨	蟏
蠱	蛊
蠶	蚕
蠻	蛮
蠾	蠾\t𧑏
衆	众
衊	蔑
術	术
衕	同
衚	胡
衛	卫
衝	冲
衹	衹\t只
袞	衮
袷	夹\t袷
裊	袅
裏	里
補	补
裝	装
裡	里
製	制
複	复
褌	裈
褘	袆
褲	裤
褳	裢
褸	褛
褻	亵
襀	𫌀
襇	裥
襉	裥
襏	袯
襓	襓\t𫋹
襖	袄
襗	襗\t𫋷
襘	襘\t𫋻
襝	裣
襠	裆
襤	褴
襪	袜
襬	摆\t䙓
襯	衬
襰	襰\t𧝝
襲	袭
襴	襕
襵	襵\t𫌇
覆	覆\t复
覈	核
見	见
覎	觃
規	规
覓	觅
視	视
覘	觇
覛	覛\t𫌪
覡	觋
覥	觍
覦	觎
親	亲
覬	觊
覯	觏
覲	觐
覷	觑
覹	覹\t𫌭
覺	觉
覼	覼\t𫌨
覽	览
覿	觌
觀	观
觴	觞
觶	觯
觸	触
訁	讠
訂	订
訃	讣
計	计
訊	讯
訌	讧
討	讨
訏	𬣙
訐	讦
訑	訑\t𫍙
訒	讱
訓	训
訕	讪
訖	讫
託	托\t讬
記	记
訛	讹
訜	訜\t𫍛
訝	讶
訞	訞\t𫍚
訟	讼
訢	䜣\t欣
訣	诀
訥	讷
訨	訨\t𫟞
訩	讻
訪	访
設	设
許	许
訴	诉
訶	诃
診	诊
註	注
証	证
詀	𧮪
詁	诂
詆	诋
詊	詊\t𫟟
詎	讵
詐	诈
詑	詑\t𫍡
詒	诒
詓	詓\t𫍜
詔	诏
評	评
詖	诐
詗	诇
詘	诎
詛	诅
詝	𬣞
詞	词
詠	咏
詡	诩
詢	询
詣	诣
試	试
詩	诗
詪	𬣳
詫	诧
詬	诟
詭	诡
詮	诠
詰	诘
話	话
該	该
詳	详
詵	诜
詷	𫍣
詼	诙
詿	诖
誂	誂\t𫍥
誄	诔
誅	诛
誆	诓
誇	夸
誋	誋\t𫍪
誌	志
認	认
誑	诳
誒	诶
誕	诞
誘	诱
誚	诮
語	语
誠	诚
誡	诫
誣	诬
誤	误
誥	诰
誦	诵
誨	诲
說	说
誫	誫\t𫍨
説	说
誰	谁
課	课
誳	誳\t𫍮
誴	誴\t𫟡
誶	谇
誷	誷\t𫍬
誹	诽
誺	誺\t𫍧
誼	谊
誾	訚
調	调
諂	谄
諄	谆
談	谈
諉	诿
請	请
諍	诤
諏	诹
諑	诼
諒	谅
諓	𬣡
論	论
諗	谂
諛	谀
諜	谍
諝	谞
諞	谝
諟	𬤊
諡	谥
諢	诨
諣	諣\t𫍩
諤	谔
諥	諥\t𫍳
諦	谛
諧	谐
諫	谏\t𫍝
諭	谕
諮	咨\t谘
諯	諯\t𫍱
諰	諰\t𫍰
諱	讳
諲	𬤇
諳	谙
諴	𫍯
諶	谌
諷	讽
諸	诸
諺	谚
諼	谖
諾	诺
謀	谋
謁	谒
謂	谓
謄	誊
謅	诌
謆	謆\t𫍸
謉	謉\t𫍷
謊	谎
謎	谜
謏	𫍲
謐	谧
謔	谑
謖	谡
謗	谤
謙	谦
謚	谥
講	讲
謝	谢
謠	谣
謡	谣
謨	谟
謫	谪
謬	谬
謭	谫
謯	謯\t𫍹
謱	謱\t𫍴
謳	讴
謸	謸\t𫍵
謹	谨
謾	谩
譁	哗
譂	譂\t𫟠
譅	譅\t𰶎
譆	譆\t𫍻
證	证
譊	譊\t𫍢
譎	谲
譏	讥
譑	譑\t𫍤
譓	𬤝
譖	谮
識	识
譙	谯
譚	谭
譜	谱
譞	𫍽
譟	噪
譨	譨\t𫍦
譫	谵
譭	毁
譯	译
議	议
譴	谴
護	护
譸	诪
譽	誉
譾	谫\t𫍿
讀	读
讅	谉
變	变
讋	詟
讌	䜩
讎	雠\t仇
讒	谗
讓	让
讕	谰
讖	谶
讚	赞
讜	谠
讞	谳
谿	溪\t谿
豈	岂
豎	竖
豐	丰
豔	艳
豬	猪
豵	豵\t𫎆
豶	豮
貍	狸
貓	猫
貗	貗\t𫎌
貙	䝙
貝	贝
貞	贞
貟	贠
負	负
財	财
貢	贡
貧	贫
貨	货
販	贩
貪	贪
貫	贯
責	责
貯	贮
貰	贳
貲	赀\t资
貳	贰
貴	贵
貶	贬
買	买\t𧹒
貸	贷
貺	贶
費	费
貼	贴
貽	贻
貿	贸
賀	贺
賁	贲
賂	赂
賃	赁
賄	贿
賅	赅
資	资
賈	贾
賊	贼
賑	赈
賒	赊
賓	宾
賕	赇
賙	赒
賚	赉
賜	赐
賝	賝\t𫎩
賞	赏
賟	賟\t𧹖
賠	赔
賡	赓
賢	贤
賣	卖
賤	贱
賦	赋
賧	赕
質	质
賫	赍
賬	账
賭	赌
賰	䞐
賴	赖
賵	赗
賺	赚
賻	赙
購	购
賽	赛
賾	赜
贃	贃\t𧹗
贄	贽
贅	赘
贇	赟
贈	赠
贉	贉\t𫎫
贊	赞
贋	赝
贍	赡
贏	赢
贐	赆
贑	贑\t𫎬
贓	赃
贔	赑
贖	赎
贗	赝
贚	贚\t𫎦
贛	赣
贜	赃
赬	赪
趕	赶
趙	赵
趨	趋
趲	趱
跡	迹
踐	践
踰	逾
踴	踊
蹌	跄
蹔	蹔\t𫏐
蹕	跸
蹟	迹
蹠	跖
蹣	蹒
蹤	踪
蹳	蹳\t𫏆
蹺	跷
蹻	蹻\t𫏋
躂	跶
躉	趸
躊	踌
躋	跻
躍	跃
躎	䟢
躑	踯
躒	跞
躓	踬
躕	蹰
躘	躘\t𨀁
躚	跹
躝	躝\t𨅬
躡	蹑
躥	蹿
躦	躜
躪	躏
軀	躯
軉	軉\t𨉗
車	车
軋	轧
軌	轨
軍	军
軏	𫐄
軑	轪
軒	轩
軔	轫
軕	軕\t𫐅
軗	軗\t𨐅
軛	轭
軜	軜\t𫐇
軝	𬨂
軟	软
軤	轷
軨	軨\t𫐉
軫	轸
軬	軬\t𫐊
軲	轱
軷	軷\t𫐈
軸	轴
軹	轵
軺	轺
軻	轲
軼	轶
軾	轼
軿	軿\t𫐌
較	较
輄	𨐈
輅	辂
輇	辁
輈	辀
載	载
輊	轾
輋	𪨶
輒	辄
輓	挽
輔	辅
輕	轻
輖	輖\t𫐏
輗	𫐐
輛	辆
輜	辎
輝	辉
輞	辋
輟	辍
輢	輢\t𫐎
輥	辊
輦	辇
輨	輨\t𫐑
輩	辈
輪	轮
輬	辌
輮	𫐓
輯	辑
輳	辏
輶	𬨎
輷	輷\t𫐒
輸	输
輻	辐
輼	辒
輾	辗
輿	舆
轀	辒
轂	毂
轄	辖
轅	辕
轆	辘
轇	轇\t𫐖
轉	转
轊	轊\t𫐕
轍	辙
轎	轿
轐	轐\t𫐗
轔	辚
轗	轗\t𫐘
轟	轰
轠	轠\t𫐙
轡	辔
轢	轹
轣	轣\t𫐆
轤	轳
辦	办
辭	辞
辮	辫
辯	辩
農	农
迴	回
迺	迺\t乃
逕	径\t迳
這	这
連	连
週	周
進	进
遊	游
運	运
過	过
達	达
違	违
遙	遥
遜	逊
遞	递
遠	远
遡	溯
適	适
遱	遱\t𫐷
遲	迟
遶	绕
遷	迁
選	选
遺	遗
遼	辽
邁	迈
還	还
邇	迩
邊	边
邏	逻
邐	逦
邨	邨\t村
郟	郏
郵	邮
鄆	郓
鄉	乡
鄒	邹
鄔	邬
鄖	郧
鄟	鄟\t𫑘
鄧	邓
鄩	𬩽
鄭	郑
鄰	邻
鄲	郸
鄳	𫑡
鄴	邺
鄶	郐
鄺	邝
酇	酂
酈	郦
醃	腌
醖	酝
醜	丑
醞	酝
醟	蒏
醣	糖
醫	医
醬	酱
醱	酦
醲	𬪩
醶	醶\t𫑷
釀	酿
釁	衅
釃	酾
釅	酽
釋	释
釐	厘\t釐
釒	钅
釓	钆
釔	钇
釕	钌
釗	钊
釘	钉
釙	钋
釚	釚\t𫟲
針	针
釟	釟\t𫓥
釣	钓
釤	钐
釦	扣
釧	钏
釨	釨\t𫓦
釩	钒
釲	釲\t𫟳
釳	釳\t𨰿
釴	𬬩
釵	钗
釷	钍
釹	钕
釺	钎
釾	䥺
釿	𬬱
鈀	钯
鈁	钫
鈃	钘
鈄	钭
鈅	钥
鈆	鈆\t𫓪
鈇	𫓧
鈈	钚
鈉	钠
鈋	鈋\t𨱂
鈍	钝
鈎	钩
鈐	钤
鈑	钣
鈒	钑
鈔	钞
鈕	钮
鈖	鈖\t𫟴
鈗	鈗\t𫟵
鈛	鈛\t𫓨
鈞	钧
鈠	鈠\t𨱁
鈡	钟
鈣	钙
鈥	钬
鈦	钛
鈧	钪
鈮	铌
鈯	鈯\t𨱄
鈰	铈
鈲	鈲\t𨱃
鈳	钶
鈴	铃
鈷	钴
鈸	钹
鈹	铍
鈺	钰
鈽	钸
鈾	铀
鈿	钿
鉀	钾
鉁	鉁\t𨱅
鉅	巨\t钜
鉆	钻
鉈	铊
鉉	铉
鉊	𬬿
鉋	铇
鉍	铋
鉑	铂
鉔	鉔\t𫓬
鉕	钷
鉗	钳
鉚	铆
鉛	铅
鉝	𫟷
鉞	钺
鉠	鉠\t𫓭
鉢	钵
鉤	钩
鉥	𬬸
鉦	钲
鉧	𬭁
鉬	钼
鉭	钽
鉮	𬬹
鉳	锫
鉶	铏
鉷	𫟹
鉸	铰
鉺	铒
鉻	铬
鉽	鉽\t𫟸
鉾	鉾\t𫓴
鉿	铪
銀	银
銁	銁\t𫓲
銂	銂\t𫟻
銃	铳
銅	铜
銈	𫓯
銊	銊\t𫓰
銍	铚
銏	銏\t𫟶
銑	铣
銓	铨
銖	铢
銘	铭
銚	铫
銛	铦
銜	衔
銠	铑
銣	铷
銥	铱
銦	铟
銨	铵
銩	铥
銪	铕
銫	铯
銬	铐
銱	铞
銳	锐
銶	𨱇
銷	销
銹	锈
銻	锑
銼	锉
鋁	铝
鋂	鋂\t𰾄
鋃	锒
鋅	锌
鋇	钡
鋉	鋉\t𨱈
鋌	铤
鋏	铗
鋐	𬭎
鋒	锋
鋗	𫓶
鋙	铻
鋝	锊
鋟	锓
鋠	鋠\t𫓵
鋣	铘
鋤	锄
鋥	锃
鋦	锔
鋨	锇
鋩	铓
鋪	铺
鋭	锐
鋮	铖
鋯	锆
鋰	锂
鋱	铽
鋶	锍
鋸	锯
鋹	𬬮
鋼	钢
錀	𬬭
錁	锞
錂	錂\t𨱋
錄	录
錆	锖
錇	锫
錈	锩
錏	铔
錐	锥
錒	锕
錕	锟
錘	锤
錙	锱
錚	铮
錛	锛
錜	錜\t𫓻
錝	錝\t𫓽
錞	𬭚
錟	锬
錠	锭
錡	锜
錢	钱
錤	𫓹
錥	錥\t𫓾
錦	锦
錨	锚
錩	锠
錫	锡
錮	锢
錯	错
録	录
錳	锰
錶	表
錸	铼
錼	镎
錽	錽\t𫓸
鍀	锝
鍁	锨
鍃	锪
鍄	鍄\t𨱉
鍅	钫
鍆	钔
鍇	锴
鍈	锳
鍉	鍉\t𫔂
鍊	炼\t链\t𫔀
鍋	锅
鍍	镀
鍒	鍒\t𫔄
鍔	锷
鍘	铡
鍚	钖
鍛	锻
鍠	锽
鍤	锸
鍥	锲
鍩	锘
鍬	锹
鍭	𬭤
鍮	鍮\t𨱎
鍰	锾
鍵	键
鍶	锶
鍺	锗
鍼	针
鍾	钟\t锺
鎂	镁
鎄	锿
鎇	镅
鎈	鎈\t𫟿
鎊	镑
鎌	镰
鎍	鎍\t𫔅
鎓	𬭩
鎔	镕
鎖	锁
鎘	镉
鎙	鎙\t𫔈
鎚	锤
鎛	镈
鎝	𨱏
鎞	鎞\t𫔇
鎡	镃
鎢	钨
鎣	蓥
鎦	镏
鎧	铠
鎩	铩
鎪	锼
鎬	镐
鎭	镇
鎮	镇
鎯	鎯\t𨱍
鎰	镒
鎲	镋
鎳	镍
鎵	镓
鎶	鿔
鎷	鎷\t𨰾
鎸	镌
鎿	镎
鏃	镞
鏆	鏆\t𨱌
鏇	旋\t镟
鏈	链
鏉	鏉\t𨱒
鏌	镆
鏍	镙
鏏	𬭬
鏐	镠
鏑	镝
鏗	铿
鏘	锵
鏚	鏚\t𬭭
鏜	镗
鏝	镘
鏞	镛
鏟	铲
鏡	镜
鏢	镖
鏤	镂
鏥	鏥\t𫔊
鏦	鏦\t𫓩
鏨	錾
鏰	镚
鏵	铧
鏷	镤
鏹	镪
鏺	䥽
鏻	𬭸
鏽	锈
鏾	鏾\t𫔌
鐃	铙
鐄	𨱑
鐇	𫔍
鐈	鐈\t𫓱
鐋	铴
鐍	𫔎
鐎	鐎\t𨱓
鐏	𨱔
鐐	镣
鐒	铹
鐓	镦
鐔	镡
鐘	钟
鐙	镫
鐝	镢
鐠	镨
鐥	䦅
鐦	锎
鐧	锏
鐨	镄
鐩	𬭼
鐪	鐪\t𫓺
鐫	镌
鐮	镰
鐯	䦃
鐲	镯
鐳	镭
鐵	铁
鐶	镮
鐸	铎
鐺	铛
鐼	鐼\t𫔁
鐽	𫟼
鐿	镱
鑀	鑀\t𰾭
鑄	铸
鑉	鑉\t𫠁
鑊	镬
鑌	镔
鑑	鉴
鑒	鉴
鑔	镲
鑕	锧
鑞	镴
鑠	铄
鑣	镳
鑥	镥
鑪	𬬻\t炉
鑭	镧
鑰	钥
鑱	镵
鑲	镶
鑴	鑴\t𫔔
鑷	镊
鑹	镩
鑼	锣
鑽	钻
鑾	銮
鑿	凿
钁	镢\t䦆
钂	镋
長	长
門	门
閂	闩
閃	闪
閆	闫
閈	闬
閉	闭
開	开\t𫔭
閌	闶
閍	閍\t𨸂
閎	闳
閏	闰
閐	閐\t𨸃
閑	闲
閒	闲\t𫔮
間	间
閔	闵
閗	閗\t𫔯
閘	闸
閝	閝\t𫠂
閞	閞\t𫔰
閡	阂
閣	阁
閤	合
閥	阀
閨	闺
閩	闽
閫	阃
閬	阆
閭	闾
閱	阅
閲	阅
閵	閵\t𫔴
閶	阊
閹	阉
閻	阎
閼	阏
閽	阍
閾	阈
閿	阌
闃	阒
闆	板
闇	暗
闈	闱
闉	𬮱
闊	阔
闋	阕
闌	阑
闍	阇
闐	阗
闑	𫔶
闒	阘
闓	闿
闔	阖
闕	阙
闖	闯
關	关
闞	阚
闠	阓
闡	阐
闢	辟
闤	阛
闥	闼
阪	阪\t坂
陘	陉
陝	陕
陞	升\t陞
陣	阵
陰	阴
陳	陈
陸	陆
陽	阳
隉	陧
隊	队
階	阶
隑	𬮿
隕	陨
際	际
隤	𬯎
隨	随
險	险
隮	𬯀
隯	陦
隱	隐
隴	陇
隸	隶
隻	只
雋	隽
雖	虽
雙	双
雛	雏
雜	杂
雞	鸡
離	离
難	难
雲	云
電	电
霑	沾
霢	霡
霣	霣\t𫕥
霧	雾
霼	霼\t𪵣
霽	霁
靂	雳
靄	霭
靆	叇
靈	灵
靉	叆
靚	靓
靜	静
靝	靔
靦	腼\t䩄
靧	靧\t𫖃
靨	靥
鞏	巩
鞝	绱
鞦	秋
鞽	鞒
鞾	鞾\t𫖇
韁	缰
韃	鞑
韆	千
韉	鞯
韋	韦
韌	韧
韍	韨
韓	韩
韙	韪
韚	韚\t𫠅
韛	韛\t𫖔
韜	韬
韝	鞲\t𫖕
韞	韫
韠	韠\t𫖒
韻	韵
響	响
頁	页
頂	顶
頃	顷
項	项
順	顺
頇	顸
須	须
頊	顼
頌	颂
頍	𫠆
頎	颀
頏	颃
預	预
頑	顽
頒	颁
頓	顿
頔	𬱖
頗	颇
領	领
頜	颌
頠	𬱟
頡	颉
頤	颐
頦	颏
頫	𫖯\t俯
頭	头
頮	颒
頰	颊
頲	颋
頴	颕
頵	𫖳
頷	颔
頸	颈
頹	颓
頻	频
頽	颓
顂	顂\t𩓋
顃	顃\t𩖖
顅	顅\t𫖶
顆	颗
題	题
額	额
顎	颚
顏	颜
顒	颙
顓	颛
顔	颜
顗	𫖮
願	愿\t𫖸
顙	颡
顛	颠
類	类
顢	颟
顣	顣\t𫖹
顥	颢
顧	顾
顫	颤
顬	颥
顯	显
顰	颦
顱	颅
顳	颞
顴	颧
風	风
颭	飐
颮	飑
颯	飒
颰	颰\t𩙥
颱	台
颳	刮
颶	飓
颷	颷\t𩙪
颸	飔
颺	飏\t扬
颻	飖
颼	飕
颾	颾\t𩙫
飀	飗
飄	飘
飆	飙
飈	飚
飋	飋\t𫗋
飛	飞
飠	饣
飢	饥
飣	饤
飥	饦
飦	飦\t𫗞
飩	饨
飪	饪
飫	饫
飭	饬
飯	饭
飱	飧
飲	饮
飴	饴
飵	飵\t𫗢
飶	飶\t𫗣
飼	饲
飽	饱
飾	饰
飿	饳
餃	饺
餄	饸
餅	饼
餈	糍
餉	饷
養	养
餌	饵
餎	饹
餏	饻
餑	饽
餒	馁
餓	饿
餔	餔\t𫗦
餕	馂
餖	饾
餗	𫗧
餘	余\t馀
餚	肴
餛	馄
餜	馃
餞	饯
餡	馅
餦	餦\t𫗠
餧	餧\t𫗪
館	馆
餪	餪\t𫗬
餫	餫\t𫗥
餬	糊\t𫗫
餭	餭\t𫗮
餱	糇\t𫗯
餳	饧
餵	喂\t𫗭
餶	馉
餷	馇
餸	𩠌
餺	馎
餼	饩
餾	馏
餿	馊
饁	馌
饃	馍
饅	馒
饈	馐
饉	馑
饊	馓
饋	馈
饌	馔
饑	饥
饒	饶
饗	飨
饘	𫗴
饜	餍
饞	馋
饟	饟\t𫗵
饠	饠\t𫗩
饢	馕
馬	马
馭	驭
馮	冯
馯	馯\t𫘛
馱	驮
馳	驰
馴	驯
馹	驲
馼	𫘜
駁	驳
駃	𫘝
駉	𬳶
駊	駊\t𫘟
駎	駎\t𩧨
駐	驻
駑	驽
駒	驹
駓	𬳵
駔	驵
駕	驾
駘	骀
駙	驸
駚	駚\t𩧫
駛	驶
駝	驼
駞	駞\t𫘞
駟	驷
駡	骂
駢	骈
駤	駤\t𫘠
駧	駧\t𩧲
駩	駩\t𩧴
駪	𬳽
駫	駫\t𫘡
駭	骇
駰	骃
駱	骆
駶	駶\t𩧺
駸	骎
駻	駻\t𫘣
駼	𬳿
駿	骏
騁	骋
騂	骍
騃	騃\t𫘤
騄	𫘧
騅	骓
騉	騉\t𫘥
騊	𫘦
騌	骔
騍	骒
騎	骑
騏	骐
騑	𬴂
騔	騔\t𩨀
騖	骛
騙	骗
騚	騚\t𩨊
騜	騜\t𫘩
騝	騝\t𩨃
騞	𬴃
騟	騟\t𩨈
騠	𫘨
騤	骙
騧	䯄
騪	騪\t𩨄
騫	骞
騭	骘
騮	骝
騰	腾
騱	𫘬
騴	騴\t𫘫
騵	𫘪
騶	驺
騷	骚
騸	骟
騻	騻\t𫘭
騼	騼\t𫠋
騾	骡
驀	蓦
驁	骜
驂	骖
驃	骠
驄	骢\t𩨂
驅	驱
驊	骅
驋	驋\t𩧯
驌	骕
驍	骁
驎	𬴊
驏	骣
驓	驓\t𫘯
驕	骄
驗	验
驙	驙\t𫘰
驚	惊
驛	驿
驟	骤
驢	驴
驤	骧
驥	骥
驦	骦
驨	驨\t𫘱
驪	骊
驫	骉
骯	肮
髏	髅
髒	脏
體	体
髕	髌
髖	髋
髮	发
鬆	松
鬍	胡
鬖	鬖\t𩭹
鬚	须
鬠	鬠\t𫘽
鬢	鬓
鬥	斗
鬧	闹
鬨	哄
鬩	阋
鬮	阄
鬱	郁
鬹	鬶
魎	魉
魘	魇
魚	鱼
魛	鱽
魟	𫚉
魢	鱾
魥	魥\t𩽹
魦	魦\t𫚌
魨	鲀
魯	鲁
魴	鲂
魵	魵\t𫚍
魷	鱿
魺	鲄
魽	魽\t𫠐
鮀	𬶍
鮁	鲅
鮃	鲆
鮄	鮄\t𫚒
鮅	鮅\t𫚑
鮆	𫚖
鮈	𬶋
鮊	鲌
鮋	鲉
鮍	鲏
鮎	鲇
鮐	鲐
鮑	鲍
鮒	鲋
鮓	鲊
鮚	鲒
鮜	鲘
鮝	鲞
鮞	鲕
鮟	𩽾
鮠	𬶏
鮡	𬶐
鮣	䲟
鮤	鮤\t𫚓
鮦	鲖
鮪	鲔
鮫	鲛
鮭	鲑
鮮	鲜
鮯	鮯\t𫚗
鮰	鮰\t𫚔
鮳	鲓
鮵	鮵\t𫚛
鮶	鲪
鮸	𩾃
鮺	鲝
鮿	鮿\t𫚚
鯀	鲧
鯁	鲠
鯄	鯄\t𩾁
鯆	鯆\t𫚙
鯇	鲩
鯉	鲤
鯊	鲨
鯒	鲬
鯔	鲻
鯕	鲯
鯖	鲭
鯗	鲞
鯛	鲷
鯝	鲴
鯞	鯞\t𫚡
鯡	鲱
鯢	鲵
鯤	鲲
鯧	鲳
鯨	鲸
鯪	鲮
鯫	鲰
鯬	鯬\t𫚞
鯰	鲶
鯱	鯱\t𩾇
鯴	鲺
鯶	鯶\t𩽼
鯷	鳀
鯻	𬶟
鯽	鲫
鯾	鯾\t𫚣
鯿	鳊
鰁	鳈
鰂	鲗
鰃	鳂
鰆	䲠
鰈	鲽
鰉	鳇
鰊	𬶠
鰋	鰋\t𫚢
鰌	䲡
鰍	鳅
鰏	鲾
鰐	鳄
鰑	鰑\t𫚊
鰒	鳆
鰓	鳃
鰕	鰕\t𫚥
鰛	鳁
鰜	鳒
鰟	鳑
鰠	鳋
鰣	鲥
鰤	𫚕
鰥	鳏
鰦	鰦\t𫚤
鰧	䲢
鰨	鳎
鰩	鳐
鰫	鰫\t𫚦
鰭	鳍
鰮	鳁
鰱	鲢
鰲	鳌
鰳	鳓
鰵	鳘
鰶	𬶭
鰷	鲦
鰹	鲣
鰺	鲹
鰻	鳗
鰼	鳛
鰽	鰽\t𫚧
鰾	鳔
鱀	𬶨
鱂	鳉
鱄	鱄\t𫚋
鱅	鳙
鱆	鱆\t𫠒
鱇	𩾌
鱈	鳕
鱉	鳖
鱊	鱊\t𫚪
鱒	鳟
鱔	鳝
鱖	鳜
鱗	鳞
鱘	鲟
鱚	𬶮
鱝	鲼
鱟	鲎
鱠	鲙
鱢	鱢\t𫚫
鱣	鳣
鱤	鳡
鱧	鳢
鱨	鲿
鱭	鲚
鱮	鱮\t𫚈
鱯	鳠
鱲	𫚭
鱷	鳄
鱸	鲈
鱺	鲡
鳥	鸟
鳧	凫
鳩	鸠
鳬	凫
鳲	鸤
鳳	凤
鳴	鸣
鳶	鸢
鳷	鳷\t𫛛
鳼	鳼\t𪉃
鳽	鳽\t𫛚
鳾	䴓
鴀	鴀\t𫛜
鴃	鴃\t𫛞
鴅	鴅\t𫛝
鴆	鸩
鴇	鸨
鴉	鸦
鴐	鴐\t𫛤
鴒	鸰
鴔	鴔\t𫛡
鴕	鸵
鴗	鴗\t𫁡
鴛	鸳
鴜	鴜\t𪉈
鴝	鸲
鴞	鸮
鴟	鸱
鴣	鸪
鴥	鴥\t𫛣
鴦	鸯
鴨	鸭
鴮	鴮\t𫛦
鴯	鸸
鴰	鸹
鴲	鴲\t𪉆
鴳	鴳\t𫛩
鴴	鸻
鴷	䴕
鴻	鸿
鴽	鴽\t𫛪
鴿	鸽
鵁	䴔
鵂	鸺
鵃	鸼
鵊	鵊\t𫛥
鵏	𬷕
鵐	鹀
鵑	鹃
鵒	鹆
鵓	鹁
鵚	鵚\t𪉍
鵜	鹈
鵝	鹅
鵟	𫛭
鵠	鹄
鵡	鹉
鵧	鵧\t𫛨
鵩	鵩\t𫛳
鵪	鹌
鵫	鵫\t𫛱
鵬	鹏
鵮	鹐
鵯	鹎
鵰	雕\t𫛲
鵲	鹊
鵷	鹓
鵾	鹍
鶄	䴖
鶇	鸫
鶉	鹑
鶊	鹒
鶌	鶌\t𫛵
鶒	鶒\t𫛶
鶓	鹋
鶖	鹙
鶗	鶗\t𫛸
鶘	鹕
鶚	鹗
鶠	𬸘
鶡	鹖
鶥	鹛
鶦	鶦\t𫛷
鶩	鹜
鶪	䴗
鶬	鸧
鶭	鶭\t𫛯
鶯	莺
鶰	鶰\t𫛫
鶱	𬸣
鶲	鹟
鶴	鹤
鶹	鹠
鶺	鹡
鶻	鹘
鶼	鹣
鶿	鹚
鷀	鹚
鷁	鹢
鷂	鹞
鷄	鸡
鷅	鷅\t𫛽
鷉	䴘
鷊	鹝
鷐	鷐\t𫜀
鷓	鹧
鷔	鷔\t𪉑
鷖	鹥
鷗	鸥
鷙	鸷
鷚	鹨
鷟	𬸦
鷣	鷣\t𫜃
鷤	鷤\t𫛴
鷥	鸶
鷦	鹪
鷨	鷨\t𪉊
鷩	鷩\t𫜁
鷫	鹔
鷭	𬸪
鷯	鹩
鷲	鹫
鷳	鹇
鷴	鹇
鷷	鷷\t𫜄
鷸	鹬
鷹	鹰
鷺	鹭
鷽	鸴
鷿	鷿\t𬸯
鸂	㶉
鸇	鹯
鸊	䴙
鸋	鸋\t𫛢
鸌	鹱
鸏	鹲
鸑	𬸚
鸕	鸬
鸗	鸗\t𫛟
鸘	鹴
鸚	鹦
鸛	鹳
鸝	鹂
鸞	鸾
鹵	卤
鹹	咸
鹺	鹾
鹼	碱
鹽	盐
麗	丽
麥	麦
麨	麨\t𪎊
麩	麸
麪	面\t麺
麫	面
麬	𤿲
麯	曲
麲	麲\t𪎉
麳	𪎌
麴	曲\t麹
麵	面\t麺
麷	麷\t𫜑
麼	么\t麽
麽	么\t麽
黃	黄
黌	黉
點	点
黨	党
黲	黪
